id,category
0,PRAYER_ITEM
1,QUEST_ITEM
2,TOOL
3,QUEST_ITEM
4,TOOL
5,QUEST_ITEM
6,TOOL
8,TOOL
10,TOOL
12,TOOL
14,QUEST_ITEM
15,QUEST_ITEM
16,QUEST_ITEM
17,QUEST_ITEM
18,QUEST_ITEM
19,QUEST_ITEM
20,QUEST_ITEM
21,MISC
22,MISC
23,QUEST_ITEM
24,QUEST_ITEM
25,QUEST_ITEM
26,QUEST_ITEM
27,KEY
28,QUEST_ITEM
30,TOOL
32,QUEST_ITEM
33,TOOL
35,MELEE_WEAPON
36,PROCESSED_MATERIAL
38,MISC
39,AMMO
40,AMMO
41,FLETCHING_COMPONENT
42,FLETCHING_COMPONENT
43,MISC
44,AMMO
45,AMMO
46,AMMO
47,AMMO
48,FLETCHING_COMPONENT
50,MISC
52,AMMO
53,AMMO
54,MISC
56,MISC
58,MISC
60,MISC
62,FLETCHING_COMPONENT
64,FLETCHING_COMPONENT
66,MISC
68,MISC
70,FLETCHING_COMPONENT
72,FLETCHING_COMPONENT
74,MELEE_ARMOR
75,MELEE_ARMOR
76,KEY
77,FOOD
78,AMMO
83,CONSTRUCTION
84,QUEST_ITEM
85,KEY
86,JEWELRY
87,COSMETIC
88,MELEE_ARMOR
89,MELEE_ARMOR
90,QUEST_ITEM
91,POTION
93,POTION
95,POTION
97,POTION
99,POTION
101,POTION
103,POTION
105,POTION
107,POTION
109,POTION
111,POTION
113,POTION
115,POTION
117,POTION
119,POTION
121,POTION
123,POTION
125,POTION
127,POTION
129,POTION
131,POTION
133,POTION
135,POTION
137,POTION
139,POTION
141,POTION
143,POTION
145,MISC
147,MISC
149,MISC
151,POTION
153,POTION
155,POTION
157,MISC
159,MISC
161,MISC
163,MISC
165,MISC
167,MISC
169,POTION
171,POTION
173,POTION
175,POTION
177,POTION
179,POTION
181,POTION
183,POTION
185,POTION
187,MISC
189,POTION
191,POTION
193,POTION
195,MISC
197,MISC
199,MELEE_WEAPON
201,HERB
203,HERB
205,HERB
207,FOOD
209,FOOD
211,HERB
213,HERB
215,PRAYER_ITEM
217,HERB
219,HERB
221,FOOD
223,FOOD
225,HERB
227,CONTAINER
229,CONTAINER
231,HERB
233,PROCESSED_MATERIAL
235,MISC
237,MISC
239,MISC
241,PROCESSED_MATERIAL
243,FOOD
245,FOOD
247,FOOD
249,HERB
251,HERB
253,HERB
255,HERB
257,HERB
259,HERB
261,HERB
263,HERB
265,HERB
267,HERB
269,HERB
271,QUEST_ITEM
272,FOOD
273,QUEST_ITEM
274,QUEST_ITEM
275,KEY
276,QUEST_ITEM
277,PROCESSED_MATERIAL
278,MELEE_WEAPON
279,QUEST_ITEM
280,PRAYER_ITEM
281,PRAYER_ITEM
282,PRAYER_ITEM
283,PRAYER_ITEM
284,COSMETIC
285,COSMETIC
286,FOOD
287,MISC
288,MISC
290,CONTAINER
291,QUEST_ITEM
292,MISC
293,KEY
294,KEY
295,JEWELRY
296,PRAYER_ITEM
297,QUEST_ITEM
298,KEY
299,SEED
300,QUEST_ITEM
301,TOOL
303,TOOL
305,FOOD
307,TOOL
309,FOOD
311,TOOL
313,AMMO
314,PROCESSED_MATERIAL
315,FOOD
317,MISC
319,FOOD
321,MISC
323,FOOD
325,FOOD
327,FOOD
329,FOOD
331,FOOD
333,FOOD
335,FOOD
337,FOOD
338,QUEST_ITEM
339,FOOD
341,FOOD
343,FOOD
345,FOOD
347,FOOD
349,MISC
351,MISC
353,FOOD
355,FOOD
357,FOOD
359,FOOD
361,FOOD
363,MISC
365,FOOD
367,FOOD
369,FOOD
371,FOOD
373,FOOD
375,FOOD
377,FOOD
379,FOOD
381,FOOD
383,FOOD
385,FOOD
387,FOOD
389,FOOD
391,FOOD
393,FOOD
395,FOOD
397,MISC
399,FOOD
401,MISC
403,FOOD
405,MISC
407,MISC
409,TOOL
411,MISC
413,MISC
415,QUEST_ITEM
416,FOOD
417,QUEST_ITEM
418,QUEST_ITEM
419,QUEST_ITEM
420,QUEST_ITEM
421,QUEST_ITEM
422,MISC
423,KEY
424,TOOL
425,TOOL
426,COSMETIC
428,COSMETIC
430,QUEST_ITEM
431,FOOD
432,KEY
433,QUEST_ITEM
434,PROCESSED_MATERIAL
436,ORE
438,ORE
440,ORE
442,ORE
444,ORE
446,ORE
447,ORE
449,ORE
451,ORE
453,ORE
455,MISC
456,QUEST_ITEM
457,QUEST_ITEM
458,QUEST_ITEM
459,QUEST_ITEM
460,QUEST_ITEM
461,QUEST_ITEM
462,QUEST_ITEM
463,QUEST_ITEM
464,MISC
466,TOOL
468,TOOL
470,TOOL
472,TOOL
474,TOOL
476,TOOL
478,TOOL
480,TOOL
482,MELEE_ARMOR
484,FOOD
486,PROCESSED_MATERIAL
488,MISC
490,MISC
492,MISC
494,TOOL
496,TOOL
498,TOOL
500,TOOL
502,TOOL
504,TOOL
506,TOOL
508,TOOL
510,MELEE_ARMOR
512,FOOD
514,TOOL
516,PROCESSED_MATERIAL
518,MISC
520,TOOL
522,QUEST_ITEM
523,QUEST_ITEM
524,QUEST_ITEM
